day,cap_avail,cap_used,overtime
1,10.0,35.0,25.0
2,10.0,12.0,2.0
3,10.0,11.0,1.0
4,10.0,12.0,2.0
5,10.0,13.0,3.0
6,10.0,14.0,4.0
7,10.0,2.0,0.0
8,10.0,0.0,0.0
9,10.0,2.0,0.0
10,10.0,4.0,0.0
11,10.0,0.0,0.0
12,10.0,0.0,0.0
13,10.0,0.0,0.0
14,10.0,0.0,0.0
15,10.0,0.0,0.0
