epoch,total_reward,total_demand
360,-133.0,75
361,-18.0,72
362,1.0,63
363,1.0,71
364,2.0,66
365,-15.0,72
366,-36.0,66
367,-7.0,72
368,-25.0,71
369,-1.0,58
370,-12.0,64
371,-16.0,72
372,-43.0,72
373,-3.0,71
374,7.0,65
375,-24.0,73
376,-28.0,67
377,6.0,66
378,-36.0,69
379,-3.0,70
380,2.0,71
381,-10.0,77
382,3.0,69
383,1.0,66
384,-7.0,68
385,-22.0,68
386,-10.0,70
387,-28.0,73
388,0.0,70
389,-35.0,62
390,0.0,60
391,0.0,67
392,2.0,60
393,-15.0,67
394,-9.0,74
395,-18.0,61
396,-52.0,73
397,8.0,58
398,-4.0,65
399,14.0,61
400,-44.0,76
401,-22.0,71
402,-11.0,74
403,7.0,72
404,-41.0,74
405,-64.0,75
406,5.0,65
407,-13.0,66
408,-2.0,78
409,-21.0,70
410,1.0,72
411,-64.0,59
412,-20.0,68
413,-51.0,69
414,-15.0,70
415,-49.0,59
416,-18.0,71
417,-39.0,73
418,-9.0,74
419,-16.0,63
420,-23.0,74
421,-9.0,72
422,-7.0,71
423,6.0,67
424,-8.0,71
425,-66.0,74
426,-6.0,65
427,-4.0,62
428,-21.0,75
429,-32.0,69
430,-8.0,78
431,-24.0,80
432,-7.0,69
433,-1.0,66
434,4.0,67
435,5.0,72
436,-56.0,63
437,-7.0,65
438,-14.0,69
439,4.0,70
440,12.0,59
441,-1.0,71
442,-2.0,69
443,-8.0,65
444,-4.0,67
445,-14.0,74
446,-19.0,67
447,-14.0,65
448,-3.0,74
449,-18.0,64
450,-7.0,73
451,-6.0,69
452,-5.0,70
453,-1.0,66
454,-21.0,67
455,1.0,64
456,-13.0,70
457,-19.0,64
458,-3.0,64
459,-3.0,60
460,4.0,61
461,4.0,59
462,-1.0,63
463,-18.0,73
464,-12.0,66
465,-18.0,67
466,-26.0,64
467,5.0,68
468,-53.0,76
469,-40.0,68
470,-15.0,65
471,-144.0,70
472,-43.0,73
473,-26.0,68
474,-16.0,73
475,-34.0,68
476,-64.0,59
477,5.0,70
478,-1.0,70
479,-5.0,77
480,10.0,76
481,-3.0,65
482,2.0,62
483,1.0,73
484,-9.0,57
485,-17.0,70
486,-20.0,67
487,-101.0,70
488,-16.0,67
489,-22.0,69
490,-8.0,65
491,3.0,74
492,-59.0,68
493,-20.0,71
494,4.0,69
495,-25.0,63
496,-116.0,64
497,0.0,72
498,-101.0,64
499,8.0,62
500,-10.0,76
501,-78.0,69
502,0.0,71
503,-4.0,62
504,9.0,63
505,9.0,60
506,-2.0,61
507,-16.0,78
508,1.0,73
509,-6.0,69
510,-2.0,70
511,-24.0,72
512,-20.0,73
513,-77.0,64
514,-12.0,70
515,-19.0,72
516,6.0,57
517,-7.0,73
518,-36.0,64
519,2.0,64
520,-2.0,72
521,5.0,61
522,-8.0,67
523,-16.0,67
524,4.0,73
525,0.0,65
526,-12.0,70
527,-43.0,71
528,-36.0,71
529,15.0,59
530,-15.0,68
531,-45.0,65
532,-6.0,66
533,-17.0,63
534,2.0,73
535,-7.0,69
536,-16.0,69
537,1.0,73
538,-16.0,69
539,-16.0,65
540,-7.0,68
541,5.0,61
542,-2.0,71
543,-41.0,71
544,-12.0,74
545,-110.0,75
546,-16.0,61
547,-11.0,65
548,-188.0,79
549,-61.0,66
550,-10.0,63
551,-35.0,71
552,-5.0,70
553,-57.0,70
554,-17.0,68
555,-83.0,65
556,-12.0,68
557,-38.0,63
558,-27.0,68
559,-8.0,66
560,6.0,63
561,-90.0,64
562,-12.0,68
563,-6.0,56
564,-49.0,67
565,-15.0,70
566,-23.0,75
567,-14.0,71
568,-32.0,64
569,-8.0,71
570,-38.0,69
571,-19.0,71
572,-34.0,75
573,-2.0,73
574,-61.0,60
575,-109.0,70
576,-51.0,66
577,-37.0,68
578,-165.0,73
579,-44.0,63
580,-4.0,64
581,4.0,60
582,-37.0,64
583,-16.0,69
584,-26.0,68
585,-14.0,75
586,-9.0,59
587,-103.0,70
588,1.0,70
589,-11.0,71
590,-116.0,63
591,-14.0,65
592,-3.0,66
593,-108.0,73
594,-16.0,69
595,-5.0,66
596,-51.0,65
597,-8.0,69
598,-27.0,72
599,-22.0,72
600,-16.0,69
601,7.0,66
602,-23.0,60
603,-15.0,70
604,-31.0,70
605,3.0,66
606,-44.0,73
607,-8.0,68
608,6.0,69
609,-45.0,76
610,-3.0,74
611,-16.0,63
612,-4.0,66
613,8.0,66
614,-8.0,60
615,-34.0,66
616,-6.0,71
617,-83.0,62
618,-39.0,77
619,6.0,60
620,8.0,60
621,8.0,62
622,5.0,55
623,-18.0,74
624,-3.0,66
625,-99.0,62
626,3.0,70
627,-48.0,62
628,-12.0,56
629,-33.0,76
630,-19.0,57
631,-2.0,63
632,-16.0,66
633,-9.0,71
634,-29.0,69
635,-21.0,65
636,-61.0,81
637,-4.0,64
638,-26.0,74
639,-3.0,65
640,2.0,70
641,-89.0,67
642,-4.0,70
643,-16.0,65
644,2.0,66
645,5.0,59
646,-5.0,75
647,-38.0,69
648,-6.0,69
649,-45.0,70
650,-20.0,69
651,-2.0,71
652,-12.0,71
653,-15.0,70
654,-21.0,65
655,4.0,63
656,-3.0,74
657,-8.0,67
658,-136.0,76
659,1.0,65
660,-3.0,65
661,-9.0,77
662,-97.0,69
663,-11.0,71
664,-96.0,69
665,-106.0,61
666,-7.0,67
667,-47.0,63
668,-1.0,58
669,-27.0,70
670,-24.0,69
671,-102.0,64
672,-34.0,66
673,-131.0,73
674,-148.0,74
675,-8.0,66
676,-76.0,66
677,-7.0,65
678,-37.0,72
679,-14.0,76
680,-80.0,61
681,9.0,68
682,-52.0,66
683,-142.0,65
684,-103.0,73
685,-35.0,69
686,-12.0,62
687,-1.0,64
688,-22.0,62
689,-10.0,73
690,-15.0,59
691,0.0,62
692,-78.0,64
693,-3.0,65
694,-44.0,72
695,-51.0,79
696,-39.0,67
697,-11.0,69
698,-13.0,74
699,13.0,68
700,-23.0,72
701,-65.0,68
702,-24.0,66
703,-86.0,69
704,-64.0,68
705,-153.0,80
706,-2.0,76
707,-139.0,76
708,4.0,62
709,-7.0,67
710,-2.0,63
711,-22.0,67
712,10.0,64
713,-8.0,68
714,-19.0,68
715,-1.0,67
716,-51.0,63
717,-94.0,64
718,-46.0,63
719,-41.0,62
720,-20.0,71
721,-30.0,62
722,-7.0,65
723,1.0,63
724,-66.0,70
725,-32.0,65
726,-18.0,68
