epoch,total_reward,total_demand
1,-2.0,31
2,1.0,32
3,5.0,33
4,8.0,35
5,7,33
6,8.0,34
7,7,33
8,6.0,39
9,6,38
10,8.0,32
11,5.0,29
12,1.0,35
13,11.0,31
14,8,30
15,9,28
16,7.0,33
17,8,33
18,3.0,39
19,7.0,34
20,5.0,33
21,-9.0,35
22,7,34
23,2.0,29
24,9.0,31
25,2.0,31
26,-15.0,35
27,4.0,36
28,6.0,28
29,3.0,34
30,-4.0,30
31,7.0,27
32,2.0,28
33,-12.0,35
34,0.0,38
35,6.0,30
36,7.0,33
37,6.0,36
38,4.0,35
39,7,38
40,6,35
41,0.0,39
42,7.0,36
43,3.0,31
44,4.0,38
45,6.0,32
46,7.0,36
47,8,35
48,4.0,38
49,7,33
50,8.0,33
51,0.0,37
52,6.0,34
53,4.0,37
54,5.0,38
55,7.0,29
56,-1.0,38
57,7,34
58,8.0,31
59,6.0,38
60,8.0,31
61,7.0,39
62,7.0,32
63,6.0,32
64,6,34
65,1.0,32
66,7,33
67,9.0,34
68,6.0,37
69,1.0,29
70,5.0,37
71,7,32
72,5.0,36
73,6,33
74,8,31
75,7.0,35
76,4.0,38
77,1.0,33
78,4.0,30
79,9,34
80,7.0,38
81,3.0,35
82,5.0,34
83,4.0,33
84,10,30
85,5.0,30
86,9,31
87,7.0,29
88,10,34
89,4.0,35
90,6.0,30
91,8.0,34
92,8.0,29
93,2.0,36
94,7.0,30
95,7.0,27
96,11,24
97,8,35
98,3.0,37
99,6.0,33
100,4.0,32
101,8,28
102,2.0,31
103,8,39
104,4.0,39
105,3.0,39
106,8,30
107,7.0,27
108,5.0,34
109,6.0,33
110,0.0,37
111,3.0,33
112,7.0,35
113,8,33
114,2.0,33
115,7,34
116,1.0,36
117,-1.0,34
118,10,30
119,8.0,34
120,5.0,36
121,4.0,37
122,3.0,39
123,6.0,32
124,6.0,37
125,6.0,36
126,8,35
127,3.0,28
128,7.0,29
129,7.0,34
130,7.0,32
131,8,37
132,4.0,41
133,7.0,37
134,4.0,37
135,8,30
136,-6.0,39
137,6,33
138,6.0,33
139,7,33
140,3.0,35
141,9,32
142,7,31
143,4.0,36
144,8.0,31
145,6.0,38
146,1.0,31
147,-10.0,31
148,-2.0,38
149,6.0,35
150,9.0,32
151,2.0,39
152,-21.0,36
153,-11.0,37
154,6.0,35
155,2.0,33
156,8,33
157,6,36
158,7.0,31
159,3.0,38
160,6.0,30
161,4.0,37
162,8,32
163,4.0,35
164,8,30
165,-2.0,36
166,7.0,34
167,8.0,29
168,7,35
169,8.0,31
170,7.0,32
171,5.0,33
172,7.0,32
173,7.0,31
174,4.0,34
175,9.0,34
176,8,35
177,5.0,36
178,2.0,34
179,7,30
180,5.0,31
181,6.0,32
182,6.0,38
183,5.0,35
184,1.0,39
185,4.0,32
186,4.0,38
187,6.0,38
188,8.0,35
189,4.0,31
190,9,29
191,8.0,35
192,3.0,41
193,8.0,28
194,-3.0,39
195,7.0,36
196,0.0,40
197,7,32
198,8,33
199,6.0,35
200,4.0,32
201,10.0,28
202,8.0,31
203,4.0,38
204,5.0,38
205,2.0,38
206,7,31
207,5.0,35
208,6.0,34
209,7.0,33
210,7.0,30
211,6.0,34
212,7,33
213,-1.0,36
214,6.0,27
215,8,30
216,6,36
217,5.0,38
218,1.0,42
219,5.0,39
220,7.0,34
221,6,34
222,9,33
223,7.0,32
224,-2.0,30
225,1.0,39
226,8,32
227,1.0,36
228,8.0,27
229,5.0,36
230,6.0,31
231,9,25
232,7.0,29
233,6.0,33
234,5.0,33
235,6.0,35
236,0.0,38
237,8,36
238,5.0,32
239,7.0,31
240,-9.0,32
241,8.0,31
242,2.0,32
243,1.0,32
244,9,34
245,8,31
246,7.0,33
247,8,36
248,8,40
249,3.0,32
250,7.0,33
251,6,34
252,7,34
253,6,32
254,8.0,33
255,-3.0,37
256,3.0,34
257,6.0,37
258,1.0,29
259,7,35
260,7.0,37
261,6.0,32
262,0.0,34
263,6.0,29
264,7.0,36
265,7.0,32
266,7.0,33
267,6.0,26
268,-4.0,41
269,8,32
270,2.0,32
271,6.0,33
272,10,30
273,5.0,30
274,-7.0,35
275,2.0,41
276,7.0,31
277,8.0,34
278,3.0,32
279,3.0,35
280,-1.0,37
281,6,37
282,6.0,33
283,7.0,29
284,8.0,31
285,6.0,32
286,1.0,39
287,6.0,36
288,5.0,36
289,4.0,30
290,5.0,38
291,7,35
292,4.0,35
293,5.0,28
294,8.0,34
295,9.0,31
296,7,30
297,7.0,29
298,6,33
299,8.0,24
300,-2.0,32
301,-15.0,36
302,5.0,35
303,3.0,37
304,5.0,35
305,8,31
306,6.0,42
307,6.0,33
308,8,31
309,8,35
310,0.0,39
311,5.0,36
312,3.0,38
313,8,31
314,8,30
315,8.0,31
316,-7.0,31
317,1.0,36
318,-3.0,32
319,7.0,35
320,6,38
321,9,34
322,6.0,32
323,5.0,37
324,8,31
325,4.0,34
326,3.0,37
327,7.0,36
328,3.0,35
329,5.0,32
330,0.0,35
331,-3.0,35
332,2.0,39
333,5.0,29
334,6.0,33
335,9.0,28
336,10.0,30
337,7,36
338,9,32
339,0.0,40
340,9,29
341,8.0,36
342,6.0,39
343,6.0,35
344,7.0,32
345,-6.0,33
346,6.0,33
347,5.0,40
