epoch,total_reward,total_demand
1,9,34
2,7,36
3,10,26
4,9,24
5,7.0,28
6,-102.0,33
7,-67.0,34
8,0.0,29
9,-16.0,29
10,11,30
11,6,32
12,-26.0,34
13,0.0,29
14,1.0,35
15,7,33
16,8,31
17,10,26
18,9,30
19,0.0,37
20,-34.0,37
21,7,32
22,8,32
23,-4.0,34
24,3.0,35
25,8,34
26,8,33
27,1.0,34
28,9,34
29,-3.0,30
30,-56.0,43
31,-1.0,35
32,8,30
33,10,26
34,11,31
35,5.0,36
36,10,34
37,4.0,31
38,-2.0,35
39,5.0,33
40,10,31
41,9,31
42,4.0,34
43,11,32
44,11,29
45,7.0,29
46,5.0,33
47,8,27
48,9,31
49,10,33
50,10,30
51,11,27
52,5.0,36
53,-24.0,34
54,10,28
55,3.0,30
56,4.0,29
57,11,31
58,9,31
59,10,29
60,8.0,31
61,9,36
62,9.0,32
63,8.0,30
64,11,27
65,-1.0,30
66,10,32
67,7,33
68,8.0,28
69,4.0,35
70,5.0,31
71,-3.0,35
72,6.0,34
73,7,32
74,10,29
75,11,29
76,-1.0,36
77,9,23
78,8,28
79,-4.0,39
80,7,35
81,9,30
82,8,31
83,10,30
84,9,34
85,9,28
86,8,30
87,9,31
88,8,31
89,10,30
90,11,30
91,6.0,31
92,7,28
93,-19.0,36
94,7,31
95,-10.0,33
96,1.0,36
97,4.0,30
98,12,25
99,13,30
100,8,32
101,11,31
102,9,31
103,7,36
104,0.0,34
105,10,33
106,10,33
107,12,26
108,9,29
109,-1.0,31
110,-12.0,32
111,3.0,34
112,10.0,32
113,9,32
114,11,31
115,8,31
116,11,32
117,9,37
118,10,26
119,6.0,33
120,8,32
121,8,32
122,8,39
123,8,34
124,5.0,32
125,9,35
126,9,32
127,10,30
128,8,31
129,7,38
130,10,28
131,11,24
132,6,36
133,9,34
134,10,33
135,5.0,31
136,10,26
137,5.0,36
138,-12.0,36
139,11,30
140,7.0,34
141,7.0,29
142,4.0,36
143,9.0,36
144,9,31
145,10.0,26
146,8.0,31
147,8,34
148,-11.0,33
149,-10.0,33
150,-5.0,32
151,-10.0,38
152,7,34
153,8,36
154,9,32
155,8,34
156,10,28
157,8,32
158,11,28
159,9,31
160,11,33
161,10,27
162,7.0,35
163,9,31
164,9,26
165,8,28
166,8,37
167,9,31
168,8,34
169,9,31
170,2.0,33
171,9,26
172,10,33
173,10,30
174,5.0,30
175,5,36
176,9,36
177,10,33
178,10,30
179,-27.0,38
180,9,34
181,11,28
182,11,32
183,9.0,29
184,10,34
185,5,38
186,10,29
187,7,34
188,5.0,35
189,8,34
190,8,34
191,-5.0,32
192,9.0,30
193,9,28
194,11,28
195,-17.0,35
196,8.0,32
197,8,27
198,-3.0,34
199,8,33
200,-5.0,31
201,10,26
202,2.0,31
203,11,31
204,7,36
205,6,32
206,9,33
207,4.0,36
208,10,31
209,9,32
210,10,31
211,3.0,31
212,8,32
213,10,28
214,9,27
215,5.0,36
216,9,29
217,8,33
218,7,30
219,6,35
220,7,37
221,8,32
222,8,35
223,0.0,38
224,10,33
225,10,31
226,8.0,32
227,10,29
228,-12.0,32
229,7.0,33
230,9,34
231,11,32
232,12,29
233,7.0,34
234,-12.0,33
235,11,27
236,4.0,35
237,11.0,31
238,2.0,33
239,9,38
240,10,31
241,9,32
242,8,35
243,9,35
244,11,30
245,3.0,39
246,10,29
247,9,35
248,6,38
249,9,29
250,11,29
251,8.0,32
252,5,33
253,8,36
254,8.0,29
255,9,28
256,8,31
257,9,29
258,7,36
259,8,32
260,9,33
261,-8.0,34
262,10,28
263,9,37
264,10,27
265,11,32
266,7.0,30
267,8,30
268,10,32
269,10,35
270,12,31
271,9,32
272,8,28
273,5.0,37
274,9,36
275,9,34
276,-8.0,39
277,8,35
278,8,28
279,9.0,27
280,9,33
281,10,34
282,8,36
283,8,33
284,3.0,29
285,8,33
286,9,28
287,9,32
288,9,34
289,5.0,30
290,14,26
291,-12.0,33
292,8,31
293,-8.0,38
294,11,30
295,6.0,38
296,10,26
297,8,32
298,8,33
299,9,28
300,10,26
301,10,31
302,10,31
303,10,33
304,8,35
305,8,35
306,10,30
307,5.0,33
308,8,34
309,9,27
310,11,30
311,11,32
312,6,36
313,10,32
314,10,33
315,10,27
316,7,28
317,9,33
318,10,31
319,10,31
320,9,33
321,7,35
322,2.0,37
323,7,31
324,9,30
325,10,31
326,11,30
327,6,34
328,10,27
329,6.0,32
330,9,30
331,9,29
332,9,30
333,9,30
334,9,34
335,9.0,30
336,8,31
337,9,30
338,8,36
339,7,30
340,9,31
341,5.0,31
342,7,40
343,7,33
344,8,32
345,4.0,36
346,9.0,29
347,9,33
348,9,31
349,8,37
350,10,28
351,10,32
352,10,30
353,10,29
354,9,30
355,6,28
356,7,32
357,7,29
358,9,32
359,10,30
360,9,32
361,6.0,32
362,4.0,34
363,10,32
364,7,32
365,10,28
366,7,36
367,10,26
368,5.0,33
369,8,32
370,9,34
371,7,31
372,9,27
373,7,40
374,9,32
375,8,35
376,-2.0,34
377,10,28
378,10,30
379,6,38
380,8,26
381,10,29
382,8,36
383,9,31
384,8,27
385,8,27
386,8,33
387,8,35
388,6,33
389,-15.0,36
390,10,30
391,9,29
392,11,28
393,9,34
394,10,32
395,10,32
396,10,33
397,10,26
398,11,28
399,11,27
400,10,32
401,7,30
402,-12.0,34
403,10,33
404,7,36
405,9,35
406,10,32
407,11,26
408,1.0,38
409,-3.0,35
410,0.0,37
411,10,34
412,6.0,33
413,10,29
414,10,31
415,9,34
416,9,26
417,9,31
418,9,29
419,8,35
420,7,34
421,7,35
422,8,35
423,11,27
424,7,38
425,9,33
426,10,27
427,6,31
428,7,32
429,9,30
430,10,29
431,8,29
432,8,28
433,13,22
434,12,28
435,9,34
436,-2.0,41
437,9,35
438,6,34
439,10,30
440,9,29
441,8,36
442,8,32
443,10,31
444,8,30
445,9,33
446,9,32
447,10,30
448,8,27
449,11,31
450,0.0,44
451,9,31
452,9,36
453,10,25
454,6,36
455,10,32
456,9,28
457,6,33
458,7,31
459,10,31
460,9,33
461,8.0,31
462,11,28
463,7,31
464,8,35
465,7,35
466,8,27
467,7,34
468,8,33
469,9,33
470,10,29
471,10,29
472,12,30
473,8,35
474,6.0,35
475,10,31
476,9,32
477,9,34
478,6,35
479,10,28
480,8,34
481,8,38
482,5.0,37
483,-2.0,41
484,8,31
485,8,37
486,8,32
487,8,35
488,5.0,37
489,10,29
490,14,26
491,9,33
492,11,29
493,8,30
494,11,29
495,9,23
496,10,30
497,8,29
498,7,31
499,6,34
500,10,32
501,8,30
502,4.0,31
503,8,37
504,9,33
505,8,30
