epoch,total_reward,total_demand
371,5.0,56
372,6.0,64
373,4.0,65
374,6.0,68
375,7.0,68
376,3.0,67
377,-17.0,76
378,8.0,67
379,14.0,68
380,-10.0,70
381,2.0,67
382,0.0,71
383,13.0,58
384,-4.0,76
385,-15.0,77
386,5.0,64
387,0.0,71
388,4.0,73
389,11.0,73
390,5.0,70
391,-1.0,70
392,6.0,72
393,-4.0,76
394,6.0,64
395,-8.0,70
396,3.0,69
397,5.0,63
398,5.0,61
399,1.0,68
400,-1.0,63
401,6.0,66
402,9.0,65
403,4.0,70
404,2.0,75
405,1.0,71
406,9.0,61
407,8.0,66
408,2.0,63
409,-4.0,73
410,5.0,68
411,8.0,71
412,14.0,59
413,9.0,69
414,0.0,75
415,-4.0,73
416,-1.0,70
417,8.0,71
418,-2.0,70
419,5.0,74
420,-2.0,73
421,6.0,67
422,1.0,69
423,-2.0,69
424,-3.0,68
425,5.0,69
426,-3.0,68
427,1.0,71
428,-18.0,70
429,-8.0,81
430,4.0,69
431,3.0,70
432,10.0,71
433,12.0,68
434,8.0,69
435,1.0,65
436,1.0,71
437,-10.0,82
438,4.0,64
439,3.0,67
440,2.0,64
441,9.0,60
442,2.0,70
443,6.0,72
444,4.0,69
445,0.0,69
446,1.0,68
447,0.0,69
448,-6.0,69
449,10.0,66
450,5.0,64
451,4.0,72
452,-3.0,70
453,-5.0,68
454,10.0,60
455,-1.0,68
456,4.0,67
457,-1.0,74
458,1.0,64
459,10.0,72
460,13.0,66
461,-7.0,73
462,-9.0,69
463,1.0,79
464,11.0,66
465,6.0,69
466,0.0,77
467,0.0,72
468,1.0,68
469,2.0,68
470,-33.0,74
471,-2.0,73
472,4.0,71
473,7.0,62
474,9.0,68
475,-1.0,69
476,2.0,63
477,-2.0,74
478,-4.0,70
479,9.0,71
480,9.0,62
481,11.0,67
482,7.0,70
483,10.0,71
484,12.0,73
485,11.0,66
486,1.0,60
487,9.0,62
488,-3.0,62
489,10.0,74
490,10.0,68
491,1.0,65
492,4.0,66
493,13.0,65
494,2.0,69
495,-17.0,74
496,7.0,58
497,12.0,64
498,14.0,64
499,12.0,70
500,-9.0,67
501,1.0,68
502,10.0,66
503,1.0,63
504,1.0,72
505,0.0,71
506,3.0,71
507,6.0,68
508,-2.0,65
509,-1.0,75
510,4.0,72
511,13.0,71
512,10.0,64
513,3.0,64
514,-17.0,72
515,-1.0,71
516,13.0,62
517,10.0,70
518,8.0,62
519,-6.0,62
520,11.0,59
521,4.0,67
522,3.0,69
523,2.0,60
524,12.0,65
525,-3.0,64
526,9.0,76
527,0.0,71
528,-3.0,72
529,4.0,75
530,1.0,68
531,6.0,70
532,4.0,68
533,11.0,64
534,7.0,68
535,8.0,69
536,10.0,65
537,6.0,69
538,9.0,58
539,8.0,71
540,15.0,60
541,6.0,73
542,2.0,75
543,4.0,70
544,-1.0,66
545,7.0,67
546,9.0,66
547,10.0,63
548,4.0,72
549,-3.0,67
550,-23.0,70
551,11.0,68
552,12.0,62
553,5.0,62
554,7.0,68
555,2.0,64
556,4.0,69
557,5.0,70
558,5.0,65
559,8.0,63
560,4.0,73
561,7.0,73
562,-107.0,72
563,6.0,74
564,1.0,73
565,-5.0,70
566,3.0,62
567,3.0,77
568,15.0,68
569,13.0,73
570,6.0,67
571,8.0,75
572,1.0,59
573,10.0,68
574,9.0,58
575,10.0,63
576,-23.0,72
577,-10.0,66
578,8.0,73
579,10.0,62
580,-1.0,72
581,4.0,75
582,8.0,68
583,3.0,71
584,2.0,62
585,2.0,76
586,-5.0,76
587,6.0,64
588,8.0,62
589,6.0,62
590,5.0,73
591,-9.0,64
592,7.0,67
593,11.0,66
594,-4.0,68
595,-3.0,70
596,-20.0,68
597,10.0,73
598,8.0,66
599,3.0,76
600,11.0,63
601,2.0,69
602,-3.0,77
603,10.0,71
604,7.0,66
605,-4.0,70
606,5.0,70
607,-1.0,63
608,2.0,74
609,-3.0,73
610,-4.0,70
611,10.0,59
612,-7.0,77
613,11.0,66
614,8.0,67
615,4.0,68
616,1.0,69
617,6.0,72
618,8.0,62
619,10.0,73
620,0.0,63
621,14.0,61
622,0.0,71
623,4.0,62
624,6.0,68
625,8.0,67
626,8.0,71
627,2.0,68
628,6.0,72
629,8.0,60
630,1.0,63
631,1.0,66
632,-1.0,72
633,4.0,69
634,0.0,72
635,1.0,67
636,10.0,60
637,3.0,65
638,5.0,71
639,3.0,65
640,-12.0,68
641,11.0,73
642,1.0,63
643,9.0,68
644,11.0,70
645,7.0,57
646,1.0,66
647,4.0,72
648,-2.0,76
649,6.0,76
650,12.0,64
651,14.0,67
652,11.0,72
653,8.0,69
654,2.0,67
655,7.0,69
656,-113.0,73
657,11.0,65
658,7.0,66
659,5.0,68
660,4.0,70
661,19.0,63
662,3.0,65
663,10.0,65
664,5.0,70
665,8.0,70
666,-11.0,78
667,14.0,62
668,6.0,74
669,1.0,73
670,9.0,61
671,19.0,61
672,-11.0,66
673,-2.0,71
674,4.0,69
675,2.0,74
676,6.0,64
677,13.0,59
678,14.0,68
679,13.0,65
680,11.0,66
681,-1.0,72
682,9.0,65
683,7.0,74
684,3.0,63
685,11.0,66
686,12.0,70
687,14.0,67
688,-24.0,70
689,3.0,73
690,-22.0,74
691,12.0,65
692,12.0,64
693,12.0,65
694,8.0,66
695,13.0,69
696,5.0,68
697,4.0,70
698,2.0,68
699,6.0,78
700,-1.0,69
701,-12.0,72
702,9.0,67
703,5.0,68
704,9.0,70
705,5.0,69
706,2.0,72
707,10.0,73
708,1.0,69
709,10.0,68
710,15.0,64
711,-8.0,66
712,6.0,64
713,7.0,61
714,-1.0,73
715,-19.0,73
716,4.0,71
717,3.0,72
718,9.0,67
719,-1.0,74
720,10.0,63
721,4.0,69
722,0.0,70
723,-6.0,81
724,-2.0,65
725,10.0,63
726,-3.0,73
727,7.0,75
728,-28.0,77
729,4.0,75
730,13.0,65
731,9.0,66
732,6.0,71
733,7.0,70
734,5.0,66
735,5.0,70
736,1.0,67
737,11.0,72
738,2.0,66
739,11.0,67
740,12.0,59
741,-2.0,64
742,3.0,71
743,-14.0,79
744,12.0,63
745,-1.0,76
746,15,60
747,11.0,69
748,8.0,58
749,9.0,70
750,7.0,67
751,-4.0,67
752,13.0,59
753,8.0,73
754,-10.0,72
755,6.0,67
756,-9.0,76
757,4.0,61
758,1.0,67
759,8.0,66
760,-1.0,61
761,11.0,60
762,-1.0,68
763,4.0,73
764,8.0,68
765,-11.0,76
766,5.0,68
767,11.0,67
768,10.0,72
769,7.0,68
770,2.0,71
771,2.0,65
772,3.0,73
773,9.0,69
774,3.0,70
775,9.0,67
776,11.0,58
777,6.0,67
778,12.0,68
779,14.0,65
780,9.0,59
781,15.0,63
782,5.0,65
783,4.0,73
784,11.0,61
785,7.0,72
786,-10.0,68
787,4.0,67
788,14.0,67
789,2.0,67
790,4.0,69
791,9.0,70
792,7.0,66
793,11.0,68
794,11.0,61
795,2.0,68
796,0.0,70
797,-7.0,64
798,9.0,64
799,11.0,66
800,1.0,69
801,-1.0,69
802,7.0,66
803,2.0,69
804,8.0,59
805,4.0,76
806,-2.0,69
807,7.0,62
808,7.0,70
809,2.0,68
810,15.0,61
811,-2.0,63
812,7.0,70
813,4.0,67
814,1.0,72
815,15.0,60
816,6.0,65
817,5.0,72
818,7.0,69
819,5.0,70
820,9.0,68
821,9.0,64
822,5.0,68
823,6.0,71
824,5.0,70
825,10.0,65
826,2.0,70
827,3.0,72
828,-10.0,78
829,10.0,76
830,11.0,67
831,10.0,66
832,9.0,69
833,3.0,71
834,16.0,59
835,7.0,59
836,5.0,71
837,11.0,67
838,3.0,68
839,13.0,67
840,3.0,69
841,3.0,72
842,-3.0,68
843,9.0,57
844,11.0,61
845,13.0,62
846,-14.0,75
847,4.0,73
848,9.0,70
849,0.0,72
850,11.0,58
851,0.0,75
852,-5.0,76
853,5.0,75
854,-16.0,67
855,11.0,68
856,0.0,72
857,16.0,61
858,14.0,68
859,-36.0,74
860,10.0,68
861,14.0,68
862,3.0,71
863,14.0,60
864,-7.0,71
865,10.0,70
866,5.0,70
867,7.0,72
868,13.0,66
869,7.0,63
870,2.0,62
871,14,62
872,13.0,63
873,-19.0,76
874,1.0,64
875,11.0,63
876,8.0,73
877,5.0,65
878,12.0,64
879,9.0,66
880,-3.0,71
881,-2.0,75
882,7.0,66
883,10.0,69
884,5.0,63
885,11.0,70
886,9.0,72
887,9.0,63
888,-4.0,66
889,5.0,67
890,9.0,69
891,-21.0,72
892,-19.0,74
893,-12.0,74
894,-5.0,68
895,11.0,68
896,7.0,69
897,-9.0,77
898,14.0,54
899,1.0,61
900,16.0,58
901,10.0,63
902,0.0,70
903,-24.0,77
904,9.0,58
905,9.0,66
906,7.0,62
907,8.0,65
908,11.0,75
909,4.0,71
910,12.0,63
911,9.0,70
912,11.0,56
913,10.0,67
914,3.0,56
915,9.0,63
916,-2.0,65
917,-11.0,66
918,11.0,68
919,-11.0,70
920,-5.0,76
921,3.0,69
922,5.0,69
923,12.0,65
924,4.0,72
925,13.0,60
926,10.0,79
927,4.0,63
928,12.0,66
929,3.0,65
930,-49.0,79
931,10.0,62
932,6.0,70
933,10.0,68
934,-1.0,66
935,10.0,62
936,12.0,63
937,9.0,65
938,12.0,65
939,15.0,71
940,9.0,61
941,3.0,67
942,11.0,57
943,11.0,67
944,8.0,55
945,6.0,72
946,-1.0,68
947,-23.0,67
948,17.0,64
949,6.0,73
950,9.0,66
951,9.0,68
952,2.0,70
953,9.0,68
954,5.0,74
955,12.0,58
956,6.0,76
957,5.0,76
958,3.0,67
959,-3.0,78
960,0.0,76
961,9.0,68
962,2.0,63
963,-1.0,72
964,17,64
965,5.0,62
966,14.0,71
967,6.0,68
968,14.0,64
969,-16.0,67
970,13.0,63
971,9.0,71
972,4.0,68
973,-1.0,69
974,4.0,67
975,7.0,70
976,-2.0,62
977,9.0,67
978,1.0,63
979,0.0,73
980,8.0,65
981,10.0,69
982,14.0,67
983,3.0,68
984,8.0,68
985,11.0,69
986,17.0,61
987,-11.0,67
988,3.0,68
989,-8.0,63
990,-1.0,72
991,9.0,74
992,15.0,56
993,9.0,69
994,11.0,74
995,-2.0,71
996,-27.0,66
997,11.0,68
998,-7.0,72
999,-7.0,70
1000,-19.0,70
1001,-6.0,77
1002,6.0,70
1003,9.0,61
1004,6.0,70
1005,7.0,66
1006,10.0,61
1007,2.0,73
1008,6.0,65
1009,12.0,67
1010,14.0,67
1011,7.0,67
1012,-2.0,71
1013,12.0,65
1014,1.0,62
1015,2.0,73
1016,9.0,68
1017,9.0,64
1018,5.0,66
1019,3.0,67
1020,8.0,68
1021,-3.0,76
1022,4.0,68
1023,0.0,62
1024,6.0,69
1025,-3.0,74
1026,11.0,61
1027,9.0,64
1028,2.0,73
1029,19,65
1030,-2.0,77
1031,3.0,65
1032,-3.0,73
1033,6.0,69
1034,8.0,64
1035,-2.0,70
1036,8.0,67
1037,13.0,67
1038,-24.0,69
1039,17,67
1040,12.0,69
1041,1.0,70
1042,4.0,60
1043,11.0,64
1044,4.0,69
1045,7.0,68
1046,-4.0,72
1047,3.0,59
1048,10.0,67
1049,-23.0,67
1050,10.0,60
1051,8.0,61
1052,12.0,67
1053,10.0,60
1054,5.0,66
1055,12.0,68
1056,11.0,69
1057,16.0,64
1058,13.0,66
1059,8.0,70
1060,12.0,64
1061,5.0,66
1062,-6.0,76
1063,6.0,70
1064,12.0,65
1065,4.0,70
1066,-1.0,72
1067,6.0,66
1068,5.0,64
1069,10.0,67
1070,9.0,65
1071,12.0,65
1072,7.0,67
1073,-1.0,74
1074,15.0,71
1075,4.0,70
1076,-9.0,75
1077,9.0,65
1078,11.0,57
1079,7.0,67
1080,6.0,70
1081,12.0,63
1082,13.0,65
1083,12.0,64
1084,12.0,66
1085,2.0,69
1086,10.0,70
1087,6.0,78
1088,-4.0,73
1089,8.0,68
1090,-1.0,71
1091,6.0,73
1092,3.0,71
1093,10.0,72
1094,16.0,66
1095,10.0,71
1096,13.0,67
1097,11.0,67
1098,10.0,65
1099,-7.0,71
1100,7.0,70
1101,16.0,68
1102,10.0,66
1103,3.0,74
1104,5.0,71
1105,8.0,70
1106,14.0,67
1107,13.0,69
1108,7.0,67
1109,4.0,63
1110,10.0,58
1111,13.0,68
1112,-21.0,69
1113,-7.0,71
1114,9.0,75
1115,11.0,69
1116,14.0,61
1117,1.0,69
1118,7.0,69
1119,-2.0,76
1120,13.0,57
1121,7.0,66
1122,13.0,61
1123,5.0,67
1124,10.0,65
1125,14.0,58
1126,6.0,71
1127,-7.0,71
1128,1.0,71
1129,-2.0,75
1130,4.0,67
1131,0.0,70
1132,13.0,67
1133,10.0,72
1134,14.0,69
1135,-3.0,75
1136,8.0,62
1137,18.0,65
1138,8.0,66
1139,17.0,63
1140,6.0,70
1141,-7.0,75
1142,10.0,68
1143,13.0,67
1144,4.0,67
1145,-2.0,70
1146,7.0,68
1147,13.0,62
1148,3.0,68
1149,9.0,64
1150,-4.0,70
1151,12.0,72
1152,10.0,62
1153,15.0,62
1154,2.0,72
1155,6.0,61
1156,-6.0,67
1157,13.0,64
1158,7.0,70
1159,3.0,73
1160,14.0,71
1161,7.0,69
1162,7.0,62
1163,6.0,71
1164,12.0,67
1165,-7.0,60
1166,9.0,62
1167,8.0,74
1168,9.0,60
1169,6.0,69
1170,10.0,67
1171,10.0,67
1172,13.0,59
1173,9.0,62
1174,2.0,65
1175,6.0,61
1176,12.0,59
1177,1.0,64
1178,9.0,70
1179,0.0,70
1180,9.0,63
1181,-13.0,79
1182,17.0,63
1183,8.0,66
1184,-42.0,73
1185,5.0,71
1186,7.0,74
1187,-3.0,73
1188,15.0,65
1189,13.0,70
1190,7.0,71
1191,6.0,72
1192,6.0,65
1193,9.0,69
1194,12.0,65
1195,4.0,70
1196,5.0,64
1197,6.0,76
1198,-38.0,74
1199,-7.0,72
1200,5.0,73
1201,11.0,63
1202,9.0,69
1203,15.0,65
1204,3.0,67
1205,9.0,63
1206,-1.0,75
