epoch,total_reward,total_demand
1,-330.0,103
2,-426.0,102
3,-50.0,98
4,-459.0,110
5,-143.0,107
6,-56.0,101
7,-23.0,98
8,-234.0,96
9,-123.0,107
10,-42.0,109
11,-56.0,112
12,-35.0,101
13,4.0,103
14,-56.0,107
15,-7.0,93
16,-4.0,93
17,-4.0,107
18,-43.0,96
19,5.0,93
20,-169.0,93
21,-26.0,104
22,-53.0,110
23,-62.0,104
24,-86.0,93
25,-65.0,106
26,16.0,95
27,-74.0,109
28,-71.0,106
29,-8.0,103
30,3.0,99
31,-10.0,109
32,-63.0,104
33,18.0,91
34,-14.0,101
35,-45.0,102
36,-56.0,94
37,5.0,103
38,5.0,98
39,-7.0,97
40,-17.0,91
41,-21.0,106
42,-4.0,97
43,-8.0,116
44,-11.0,102
45,5.0,98
46,5.0,100
47,-102.0,96
48,-22.0,100
49,14.0,95
50,-37.0,108
51,-10.0,95
52,-46.0,105
53,-21.0,101
54,1.0,92
55,-80.0,109
56,15.0,104
57,-8.0,96
58,-14.0,110
59,6.0,103
60,-88.0,110
61,-103.0,110
62,0.0,102
63,-13.0,99
64,2.0,98
65,-38.0,112
66,-2.0,100
67,7.0,100
68,1.0,97
69,1.0,99
70,-4.0,104
71,-47.0,101
72,-11.0,100
73,-3.0,94
74,-12.0,105
75,12.0,91
76,9.0,97
77,7.0,95
78,8.0,84
79,-19.0,103
80,-13.0,103
81,-5.0,102
82,-9.0,100
83,13.0,96
84,-4.0,99
85,-32.0,99
86,1.0,102
87,-53.0,106
88,-11.0,106
89,-100.0,99
90,-3.0,105
91,4.0,104
92,8.0,110
93,-4.0,94
94,-2.0,108
95,10.0,92
96,-4.0,112
97,-8.0,101
98,0.0,94
99,-70.0,101
100,-4.0,95
101,0.0,105
102,-35.0,98
103,-47.0,107
104,0.0,102
105,0.0,108
106,5.0,112
107,-64.0,107
108,7.0,101
109,-2.0,108
110,-12.0,108
111,19.0,92
112,-16.0,102
113,1.0,98
114,3.0,101
115,16.0,92
116,-20.0,101
117,27.0,88
118,1.0,107
119,13.0,96
120,-3.0,100
121,7.0,92
122,-2.0,97
123,-14.0,101
124,-120.0,109
125,-8.0,108
126,-5.0,104
127,-3.0,108
128,11.0,97
129,-9.0,111
130,9.0,87
131,14.0,103
132,-2.0,97
133,16.0,91
134,18.0,102
135,-14.0,108
136,7.0,98
137,10.0,102
138,-65.0,96
139,10.0,97
140,-19.0,106
141,4.0,103
142,-19.0,101
143,-2.0,96
144,11.0,99
145,-3.0,104
146,3.0,95
147,8.0,100
148,9.0,95
149,2.0,97
150,14.0,102
151,-4.0,107
152,5.0,104
153,-13.0,99
154,13.0,96
155,-2.0,105
156,-1.0,103
157,6.0,99
158,-15.0,105
159,-7.0,106
160,2.0,109
161,5.0,99
162,6.0,99
163,2.0,99
164,5.0,108
165,-2.0,102
166,15.0,100
167,13.0,108
168,5.0,97
169,-138.0,113
170,-7.0,103
171,10.0,98
172,-4.0,97
173,8.0,102
174,1.0,98
