epoch,total_reward,total_demand
1,-695.0,68
2,-417.0,66
3,-278.0,71
4,-184.0,66
5,-304.0,63
6,-21.0,73
7,-284.0,64
8,-219.0,65
9,-175.0,61
10,-202.0,70
11,-115.0,64
12,-168.0,69
13,-207.0,69
14,-60.0,67
15,-105.0,61
16,-178.0,70
17,-83.0,70
18,-57.0,64
19,-251.0,73
20,-157.0,70
21,18.0,64
22,-33.0,66
23,-29.0,65
24,-258.0,66
25,2.0,57
26,-139.0,70
27,-22.0,61
28,-197.0,72
29,-144.0,64
30,-284.0,73
31,-10.0,69
32,-138.0,62
33,-215.0,67
34,6.0,65
35,-140.0,67
36,-88.0,63
37,-25.0,67
38,-45.0,64
39,-103.0,55
40,-332.0,68
41,-56.0,71
42,-78.0,62
43,10.0,64
44,-59.0,63
45,-323.0,68
46,-167.0,65
47,2.0,69
48,-319.0,66
49,-358.0,68
50,-36.0,58
51,-11.0,65
52,-73.0,68
53,-145.0,72
54,-23.0,65
55,-99.0,73
56,-65.0,68
57,-131.0,64
58,-146.0,67
59,-98.0,63
60,-38.0,66
61,-88.0,65
62,-92.0,76
63,-35.0,75
64,-196.0,67
65,-32.0,64
66,-17.0,62
67,-143.0,76
68,-234.0,65
69,14.0,64
70,5.0,60
71,-109.0,70
72,-79.0,68
73,-191.0,72
74,-35.0,59
75,-159.0,74
76,-74.0,63
77,-95.0,68
78,-134.0,68
79,-162.0,62
80,-211.0,61
81,-33.0,67
82,19,52
83,-200.0,64
84,-163.0,68
85,-101.0,69
86,-83.0,68
87,-30.0,63
88,-1.0,68
89,-129.0,67
90,-31.0,58
91,-33.0,73
92,19,62
93,-12.0,63
94,-96.0,65
95,-117.0,67
96,-90.0,56
97,-53.0,60
98,16,67
99,-196.0,76
100,-56.0,63
101,-31.0,64
102,-52.0,70
103,-24.0,63
104,-25.0,70
105,-52.0,72
106,-117.0,70
107,-82.0,67
108,-154.0,62
109,-117.0,74
110,-51.0,70
111,-148.0,72
112,16,71
113,-27.0,66
114,-26.0,59
115,14,74
116,15.0,57
117,-209.0,67
118,-277.0,66
119,-72.0,72
120,-172.0,74
121,-327.0,64
122,-199.0,65
123,-112.0,67
124,-37.0,65
125,-69.0,67
126,-34.0,68
127,-122.0,66
128,-111.0,61
129,-347.0,66
130,19,62
131,-19.0,60
132,-7.0,62
133,-225.0,62
134,-294.0,70
135,-108.0,73
136,-28.0,70
137,-75.0,72
138,16.0,60
139,-19.0,69
140,-142.0,64
141,-201.0,64
142,-213.0,58
143,-16.0,75
144,-162.0,56
145,-34.0,67
146,-10.0,65
147,-74.0,73
148,11.0,62
149,-102.0,72
150,19,63
151,-32.0,67
152,14.0,62
153,-40.0,68
154,-19.0,61
155,-3.0,71
156,-46.0,61
157,-32.0,65
158,-16.0,66
159,-140.0,69
160,-299.0,67
161,16,60
162,-226.0,70
163,-198.0,71
164,-51.0,69
165,-219.0,60
166,-59.0,65
167,-219.0,66
168,-28.0,68
169,-2.0,63
170,4.0,78
171,15.0,69
172,-39.0,73
173,-215.0,68
174,-135.0,69
175,-130.0,65
176,14.0,60
177,-206.0,69
178,-282.0,67
179,20.0,61
180,-74.0,66
181,-19.0,60
182,-110.0,69
183,12.0,65
184,-64.0,60
185,17.0,57
186,13.0,72
187,-78.0,65
188,11.0,63
189,-31.0,68
190,-74.0,67
191,-26.0,66
192,-66.0,67
193,-52.0,67
194,-112.0,68
195,-257.0,74
196,10.0,67
197,-137.0,69
198,-130.0,72
199,13.0,55
200,-83.0,68
201,-44.0,68
202,-9.0,69
203,-81.0,69
204,-80.0,67
205,3.0,62
206,-99.0,68
207,10.0,65
208,-18.0,73
209,1.0,60
210,2.0,60
211,-20.0,67
212,-10.0,66
213,-9.0,67
214,-156.0,57
215,-14.0,63
216,-7.0,65
217,-109.0,73
218,-102.0,64
219,-38.0,67
220,15,52
221,18,58
222,-29.0,67
223,7.0,60
224,-74.0,75
225,-178.0,66
226,-128.0,66
227,15.0,62
228,-234.0,68
229,17,63
230,-45.0,73
231,-26.0,67
232,17,68
233,-6.0,69
234,-139.0,69
235,-182.0,74
236,-175.0,73
237,-67.0,64
238,-40.0,61
239,-49.0,67
240,-107.0,68
241,-6.0,66
242,6.0,67
243,-19.0,65
244,-63.0,65
245,-39.0,67
246,-30.0,68
247,11.0,62
248,-104.0,67
249,-142.0,67
250,-163.0,67
251,-215.0,69
252,-51.0,69
253,-4.0,66
254,-98.0,69
255,-61.0,62
256,13.0,67
257,-59.0,72
258,-34.0,64
259,13.0,65
260,-132.0,60
261,-59.0,69
262,20,67
263,8.0,57
264,8.0,70
265,-97.0,67
266,-47.0,74
267,-180.0,67
268,-55.0,70
269,18,59
270,13,71
271,-52.0,68
272,-107.0,66
273,18,62
274,-210.0,74
275,-6.0,65
276,15.0,63
277,-47.0,72
278,18,61
279,8.0,67
280,-142.0,67
281,-127.0,67
282,11.0,66
283,19,65
284,-4.0,75
285,19,65
286,18,66
287,-39.0,62
288,17,66
289,-124.0,64
290,-6.0,67
291,16,66
292,-44.0,61
293,-102.0,67
294,-71.0,72
295,-10.0,63
296,-106.0,65
297,-59.0,57
298,-149.0,64
299,-81.0,64
300,10.0,66
301,-26.0,67
302,-164.0,70
303,-60.0,69
304,19,60
305,-53.0,61
306,-462.0,77
307,3.0,66
308,-61.0,69
309,17,59
310,-29.0,67
311,18,66
312,-256.0,65
313,7.0,58
314,19.0,55
315,-30.0,69
316,-64.0,61
317,-46.0,62
318,-153.0,76
319,10.0,64
320,17,69
321,5.0,68
322,0.0,70
323,-176.0,69
324,-21.0,66
325,-116.0,68
326,18,70
327,16,64
328,20,58
329,-8.0,67
330,-1.0,70
331,10.0,64
332,-23.0,77
333,-159.0,64
334,13.0,56
335,-42.0,68
336,-57.0,66
337,-165.0,61
338,-95.0,64
339,-30.0,61
340,-41.0,69
341,-34.0,66
342,10.0,60
343,12.0,67
344,11.0,64
345,-10.0,59
346,-138.0,73
347,16.0,70
348,13.0,67
349,-119.0,75
350,-256.0,71
351,-39.0,72
352,21,61
353,-54.0,68
354,-161.0,67
355,-9.0,61
356,-71.0,66
357,16.0,66
358,-108.0,70
359,-14.0,61
360,-28.0,68
361,16,66
362,-50.0,68
363,-77.0,67
364,12.0,65
365,-170.0,70
366,-17.0,70
367,-31.0,72
368,-89.0,60
369,-57.0,67
370,-33.0,64
371,-137.0,72
372,-222.0,71
373,-7.0,67
374,11.0,62
375,-19.0,57
376,-6.0,70
377,7.0,60
378,-119.0,67
379,-37.0,58
380,-184.0,78
381,-23.0,66
382,-157.0,61
383,-48.0,66
384,-190.0,75
385,-151.0,67
386,4.0,63
387,-70.0,64
388,-185.0,72
389,-36.0,67
390,-76.0,72
391,16,59
392,-1.0,60
393,-31.0,70
394,-15.0,60
395,-62.0,71
396,-54.0,68
397,-212.0,72
398,4.0,66
399,-59.0,72
400,-140.0,64
401,-5.0,56
402,15.0,69
403,17.0,55
404,-6.0,68
405,-68.0,57
406,-47.0,62
407,-138.0,71
408,-42.0,67
409,16,65
410,-4.0,71
411,9.0,65
412,17,59
413,18,62
414,-154.0,65
415,17.0,67
416,-175.0,69
417,14.0,70
418,-99.0,66
419,-74.0,68
420,-140.0,73
421,-121.0,70
422,10.0,61
423,-87.0,80
424,3.0,67
425,-75.0,70
426,-91.0,60
427,-8.0,67
428,-89.0,72
429,19,63
430,-9.0,65
431,-48.0,63
432,-86.0,81
433,-72.0,64
434,-138.0,66
435,-32.0,69
436,-91.0,65
437,-78.0,65
438,11.0,63
439,-32.0,63
440,8.0,64
441,16,60
442,5.0,59
443,-56.0,74
444,-39.0,59
445,-286.0,69
446,-71.0,61
447,-62.0,64
448,-132.0,70
449,-50.0,66
450,11.0,63
451,-89.0,74
452,-8.0,65
453,17,63
454,-195.0,72
455,-5.0,68
456,-61.0,72
457,-124.0,71
458,-89.0,67
459,-59.0,69
460,-41.0,68
461,-9.0,64
462,19,63
463,-78.0,71
464,11.0,66
465,-54.0,71
466,0.0,59
467,-28.0,68
468,19,64
469,1.0,62
470,-1.0,61
471,-21.0,67
472,15.0,61
473,-23.0,70
474,-5.0,63
475,20,59
476,-66.0,64
477,18,62
478,-28.0,68
479,-86.0,75
480,-33.0,74
481,-17.0,64
482,-75.0,67
483,14.0,65
484,-24.0,55
485,17,64
486,3.0,70
487,-111.0,67
488,16,65
489,15,68
490,-37.0,65
491,-76.0,65
492,-18.0,73
493,-41.0,69
494,-40.0,63
495,-18.0,59
496,10.0,62
497,-21.0,64
498,-10.0,71
499,-63.0,71
500,-76.0,66
501,-23.0,65
502,9.0,62
503,-96.0,70
504,13.0,59
505,-104.0,66
506,-20.0,72
507,-32.0,56
508,-49.0,58
509,-153.0,74
510,-83.0,66
511,8.0,60
512,-55.0,64
513,-94.0,67
514,-130.0,65
515,-148.0,62
516,-22.0,65
517,-49.0,61
518,-162.0,68
519,-20.0,64
520,-154.0,70
521,-19.0,56
522,12.0,58
523,-4.0,67
524,-104.0,68
525,-98.0,69
526,12.0,65
527,18,66
528,-110.0,58
529,-24.0,63
530,-74.0,70
531,-126.0,66
532,-173.0,68
533,-126.0,71
534,-13.0,68
535,17.0,58
536,-121.0,65
537,-58.0,67
538,18,59
539,-31.0,68
540,18,65
541,-22.0,65
542,7.0,63
543,-49.0,73
544,16,64
545,15,67
546,-89.0,70
547,-241.0,80
548,-17.0,66
549,-152.0,70
550,-115.0,79
551,-42.0,76
552,-40.0,69
553,-78.0,64
554,14,65
555,-48.0,65
556,-18.0,66
557,-47.0,70
558,-39.0,68
559,-82.0,72
560,-39.0,71
561,-5.0,69
562,-190.0,68
563,-73.0,72
564,6.0,63
565,-12.0,68
566,-46.0,64
567,11.0,63
568,-12.0,69
569,17,69
570,-168.0,66
571,18.0,66
572,18,69
573,-4.0,69
574,10.0,53
575,-16.0,73
576,-10.0,69
577,-116.0,60
578,-20.0,66
579,1.0,65
580,18,65
581,16,66
582,-49.0,58
583,-161.0,72
584,-85.0,70
585,0.0,60
586,16,54
587,17,67
588,-54.0,64
589,18,63
590,2.0,65
591,-133.0,68
592,18,59
593,16,65
594,-75.0,72
595,17.0,58
596,-32.0,70
597,-40.0,67
598,-7.0,70
599,0.0,66
600,4.0,62
601,3.0,68
602,14.0,67
603,-53.0,67
604,-18.0,67
605,-97.0,72
606,21,61
607,2.0,62
608,-21.0,73
609,-106.0,66
610,-36.0,76
611,-21.0,71
612,11.0,66
613,-98.0,67
614,-46.0,62
615,17,59
616,-46.0,68
617,19.0,62
618,-23.0,70
619,4.0,59
620,18,66
621,11.0,61
622,-17.0,70
623,-121.0,56
624,8.0,59
625,17,65
626,-24.0,65
627,-61.0,72
628,10.0,68
629,-26.0,67
630,11.0,63
631,-92.0,66
632,-20.0,67
633,-94.0,72
634,14.0,66
635,-43.0,57
636,18,66
637,-62.0,63
638,19,62
639,18,61
640,-6.0,67
641,17.0,64
642,16,58
643,-34.0,67
644,-39.0,69
645,-27.0,69
646,-3.0,70
647,-46.0,63
648,-31.0,64
649,-237.0,77
650,18,64
651,-9.0,62
652,-169.0,67
653,-30.0,73
654,-207.0,64
655,-32.0,58
656,-5.0,71
657,-1.0,64
658,-211.0,70
659,2.0,58
660,8.0,69
661,-36.0,67
662,-15.0,67
663,-91.0,76
664,-20.0,65
665,-73.0,65
666,-29.0,67
667,7.0,64
668,-4.0,63
669,-53.0,66
670,-78.0,69
671,14,62
672,-5.0,64
673,-73.0,66
674,8.0,66
675,-127.0,75
676,-84.0,69
677,4.0,65
678,17,64
679,20,55
680,0.0,63
681,-12.0,68
682,-3.0,80
683,1.0,65
684,-47.0,65
685,-142.0,66
686,-15.0,65
687,3.0,68
688,-60.0,73
689,17,66
690,4.0,70
691,16,68
692,17,57
693,-143.0,67
694,-8.0,66
695,20,62
696,-51.0,72
697,-45.0,67
698,-130.0,58
699,-72.0,74
700,19,59
701,17,66
702,13.0,68
703,-50.0,68
704,-54.0,65
705,-42.0,56
706,16,63
707,15,65
708,13.0,66
709,-25.0,74
710,16.0,56
711,13.0,69
712,-49.0,68
713,-85.0,66
714,18,69
715,-17.0,65
716,4.0,71
717,0.0,63
718,21,62
719,18,64
720,17.0,59
721,-4.0,70
722,4.0,66
723,8.0,63
724,0.0,68
725,-138.0,72
726,19,59
727,13.0,62
728,-7.0,73
729,-31.0,66
730,2.0,74
731,-87.0,71
732,-108.0,71
733,-31.0,63
734,-34.0,66
735,18,65
736,12.0,61
737,17,67
738,17,59
739,-131.0,70
740,-5.0,66
741,-46.0,69
742,10.0,60
743,5.0,69
744,4.0,64
745,18,55
746,17,66
747,9.0,72
748,-32.0,67
749,16,62
750,19,62
751,11.0,64
752,-4.0,68
753,7.0,69
754,-175.0,72
755,-105.0,77
756,15.0,71
757,-27.0,68
758,-22.0,68
759,-81.0,72
760,4.0,66
761,20,67
762,0.0,69
763,-73.0,73
